rmse_train, rmse_test, rank
1.76883663148, 1.77233995758, 1
1.74030910469, 1.74585248382, 2
1.72428708536, 1.73139686795, 3
1.70848043932, 1.71789294085, 4
1.70046055927, 1.7124311915, 5
1.69213714212, 1.70654410766, 6
1.68762668396, 1.70368535656, 7
1.68144906901, 1.69943283243, 8
1.67571380662, 1.69527947511, 9
1.67158506703, 1.69293358328, 10
1.66788750852, 1.69157853745, 11
1.66402803994, 1.68917832305, 12
1.66045408678, 1.68751797445, 13
1.65772687168, 1.68694281972, 14
1.65463818658, 1.68552729967, 15
1.65193724715, 1.68445882743, 16
1.6496286831, 1.68370210374, 17
1.6470439649, 1.68279880105, 18
1.64434743952, 1.68183553251, 19
1.64235689442, 1.68142199922, 20
1.64053379548, 1.6815710732, 21
1.63827862259, 1.68078815739, 22
1.63657359646, 1.68195166549, 23
1.6344967691, 1.68110571945, 24
1.63254953945, 1.67991603494, 25
1.63078323797, 1.6810222762, 26
1.62931446094, 1.68163895134, 27
1.62740355703, 1.68129865637, 28
1.62553106547, 1.6809442345, 29
1.62376452917, 1.68067650653, 30
