rmse_train, rmse_test, rank
1.66788750852, 1.69157853745, 11
1.66402803994, 1.68917832305, 12
1.66045408678, 1.68751797445, 13
1.65772687168, 1.68694281972, 14
1.65463818658, 1.68552729967, 15
1.65193724715, 1.68445882743, 16
1.6496286831, 1.68370210374, 17
1.6470439649, 1.68279880105, 18
1.64434743952, 1.68183553251, 19
1.64235689442, 1.68142199922, 20
1.64053379548, 1.6815710732, 21
1.63827862259, 1.68078815739, 22
1.63657359646, 1.68195166549, 23
1.6344967691, 1.68110571945, 24
1.63254953945, 1.67991603494, 25
1.63078323797, 1.6810222762, 26
1.62931446094, 1.68163895134, 27
1.62740355703, 1.68129865637, 28
1.62553106547, 1.6809442345, 29
1.62376452917, 1.68067650653, 30
